Tipo;Notícia;Link
Principal;"Câmera mostra briga antes de João Alberto ser assassinado; veja";"https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/11/21/camera-de-seguranca-mostra-inicio-da-confusao-antes-do-assassinato-brutal-de-joao-alberto-no-rs.ghtml"
Principal;"Filha agradece por apoio após morte do pai";"https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/11/21/corpo-de-joao-alberto-morto-em-unidade-do-carrefour-e-velado-em-porto-alegre.ghtml"
Principal;"AP: Bolsonaro é recebido com protestos; vídeo";"https://g1.globo.com/politica/blog/gerson-camarotti/noticia/2020/11/21/apos-quase-tres-semanas-de-apagao-bolsonaro-chega-ao-amapa-sob-protestos.ghtml"
Principal;"Policial morre ao cair de altura de 30m no Ceará";"https://g1.globo.com/ce/ceara/noticia/2020/11/21/policial-militar-morre-apos-caminhonete-cair-de-30-metros-de-altura-e-pegar-fogo-no-ceara.ghtml"
Principal;"EUA batem novo recorde diário: 198.537 casos";"https://g1.globo.com/bemestar/coronavirus/noticia/2020/11/21/eua-batem-mais-um-recorde-diario-de-infeccoes-por-covid-19-com-quase-200-mil-novos-casos.ghtml"
Principal;"Emergência está saturada em 19 regiões da Itália";"https://epocanegocios.globo.com/Mundo/noticia/2020/11/leitos-de-emergencia-estao-saturados-em-19-regioes-da-italia.html"
Principal;"Reino Unido faz 3ª fase de testes de 'tratamento'";"https://g1.globo.com/bemestar/coronavirus/noticia/2020/11/21/possivel-tratamento-para-covid-19-entra-na-ultima-fase-de-testes-no-reino-unido.ghtml"
Principal;"CR7 marca de novo para a Juventus contra o Cagliari; siga";"https://globoesporte.globo.com/futebol/futebol-internacional/futebol-italiano/jogo/21-11-2020/juventusita-CAGLIARI.ghtml"
Principal;"Atletico sai na frente do Barcelona pelo Espanhol; siga lances";"https://globoesporte.globo.com/futebol/futebol-internacional/futebol-espanhol/jogo/21-11-2020/atleticodemadri-barcelona.ghtml"
Principal;"Balotelli está perto de assinar com o Vasco, diz imprensa italiana";"https://extra.globo.com/esporte/vasco/balotelli-esta-proximo-de-assinar-com-vasco-afirma-imprensa-italiana-24759278.html"
Principal;"Fla pega o Coritiba e se vencer, dorme na liderança; pré-jogo";"https://globoesporte.globo.com/rj/futebol/brasileirao-serie-a/jogo/21-11-2020/flamengo-coritiba.ghtml"
Principal;"Filme lembra caso similar ao de João Alberto em 1987; veja";"https://globoplay.globo.com/v/8732353/programa/?origemld=1020&utm_source=gcom&utm_medium=home&utm_campaign=gcom-edit&utm_term=ocasodohomemerrado"
Principal;"Tony Tornado lembra preconceito após casamento: 'Feio'";"https://gshow.globo.com/programas/e-de-casa/noticia/tony-tornado-relembra-preconceito-ao-ser-casado-com-arlete-salles-feio.ghtml"
Principal;"Bibi vai ao casamento de Caio e Leila em 'A Força do Querer'";"https://gshow.globo.com/novelas/a-forca-do-querer/vem-por-ai/noticia/bibi-vai-ao-casamento-de-caio-e-leila.ghtml"
Secundário;"Confira melhores opções de eletrodomésticos";"https://www.globo.com/gshop/black-friday/eletrodomesticos-e-ventilacao/?utm_source=globo.com&utm_medium=trilho_destaques&utm_campaign=black_friday"
Secundário;"O Smartphone perfeito para você e seu bolso";"	 https://www.globo.com/gshop/black-friday/smartphone/?utm_source=globo.com&utm_medium=trilho_destaques&utm_campaign=black_friday"
Secundário;"Confira mais ofertas especiais da Black Friday";"https://www.globo.com/gshop/black-friday/?utm_source=globo.com&utm_medium=trilho_destaques&utm_campaign=black_friday"
Secundário;"Neto é preso suspeito de maus-tratos contra a avó no RJ; vídeo";"https://oglobo.globo.com/rio/homem-preso-no-leblon-apos-flagrante-de-maus-tratos-avo-por-causa-da-situacao-financeira-da-familia-veja-video-24759202?utm_source=globo.com&utm_medium=oglobo"
Secundário;"Após vídeo em pânico, motoboy recupera moto e celular";"https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/11/21/motoboy-recupera-moto-roubada-durante-entrega-apos-apelo-na-web-fui-da-tristeza-para-alegria.ghtml"
Secundário;"Família no RN não costumava ir à praia onde falésia desabou";"https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/11/21/familia-nao-tinha-costume-de-frequentar-praia-onde-falesia-desabou-em-pipa-diz-irmao.ghtml"
Secundário;"Vale oferece R$ 33 bilhões a menos de indenização por tragédia em Brumadinho";"https://epocanegocios.globo.com/Empresa/noticia/2020/11/epoca-negocios-vale-oferece-r-33-bi-a-menos-de-indenizacao-por-brumadinho.html??"
Secundário;"Polícia de MT investiga chacina em festa com 3 mortos e um ferido";"https://g1.globo.com/mt/mato-grosso/noticia/2020/11/21/chacina-em-festa-deixa-tres-jovens-mortos-e-um-ferido-em-jaciara-mt.ghtml"
Secundário;"Proibido! Lista traz seis coisas que você não deve fazer no PIX";"https://www.techtudo.com.br/listas/2020/11/seis-coisas-que-voce-nao-deve-fazer-ao-usar-o-pix.ghtml"
Secundário;"Times de esports têm mansões com vários quartos e até cinema; veja as fotos";"https://www.techtudo.com.br/listas/2020/11/loud-e-mibr-conheca-mansoes-e-casas-de-luxo-de-times-brasileiros-de-esports.ghtml"
Secundário;"Prefeitura faz asfalto e deixa pé de pequi no meio da rua no TO";"https://g1.globo.com/to/tocantins/noticia/2020/11/21/prefeitura-faz-asfalto-em-bairro-de-araguaina-e-preserva-pe-de-pequi-no-meio-de-rua.ghtml"
Secundário;"Raio-x mostra peixe em sapo comido por outro peixe; amplie";"https://revistagalileu.globo.com/Ciencia/Biologia/noticia/2020/11/raio-x-mostra-peixe-dentro-de-sapo-que-havia-sido-engolido-por-outro-peixe.html"
Secundário;"Sobrinho do ditador Kim Jong-un some após encontro, diz site";"https://revistamonet.globo.com/Noticias/noticia/2020/11/sobrinho-do-ditador-norte-coreano-kim-jong-un-esta-desaparecido-desde-econcontro-secreto-com-agentes-da-cia.html"
Secundário;"América-MG vence o Operário e assume o 2º lugar da Série B";"https://globoesporte.globo.com/pr/futebol/brasileirao-serie-b/jogo/21-11-2020/operario-pr-america-mg.ghtml"
Secundário;"SIGA: Medvedev e Nadal duelam na semifinal do ATP Finals";"https://globoesporte.globo.com/tenis/ao-vivo/atp-finals-daniil-medvedev-x-rafael-nadal.ghtml"
Secundário;"Hamilton posta sobre morte de João Alberto em supermercado";"https://globoesporte.globo.com/motor/formula-1/noticia/lewis-hamilton-posta-foto-de-protesto-contra-morte-em-porto-alegre-e-lamentaoutra-vida-negra-perdida.ghtml"
Secundário;"Palmeiras pretende testar e levar jogadores em avião particular ao Equador";"https://globoesporte.globo.com/futebol/times/palmeiras/noticia/palmeiras-pode-levar-jogadores-de-ultima-hora-ao-equador-em-aviao-particular.ghtml"
Secundário;"Haaland põe 4 bolas no fundo da rede, e Borussia goleia";"https://globoesporte.globo.com/futebol/futebol-internacional/futebol-alemao/noticia/haaland-faz-quatro-gols-e-borussia-dortmund-goleia-o-hertha-berlim-no-alemao.ghtml"
Secundário;"Noite de UFC terá brasileiros Deiveson e Jennifer Maia";"https://globoesporte.globo.com/combate/noticia/ufc-255-deiveson-quer-manter-reinado-e-jennifer-maia-vai-pra-cima-de-valentina-shevchenko.ghtml"
Secundário;"Marta é cortada de amistosos do Brasil após exames positivos para Covid-19";"https://globoesporte.globo.com/futebol/selecao-brasileira/noticia/com-covid-19-marta-e-cortada-dos-amistosos-da-selecao-feminina.ghtml"
Secundário;"Com Covid, Hudson vira desfalque de última hora no Flu";"https://globoesporte.globo.com/futebol/times/fluminense/noticia/hudson-testa-positivo-para-covid-19-e-desfalca-fluminense-contra-o-inter.ghtml"
Secundário;"Em menos de 1h, astro da natação bate dois recordes mundiais";"https://globoesporte.globo.com/natacao/noticia/maior-estrela-da-natacao-caeleb-dressel-quebra-dois-recordes-mundiais-em-menos-de-uma-hora.ghtml"
Secundário;"Leclerc revela idolatria por Senna e amor pelo Brasil; veja vídeo";"https://globoesporte.globo.com/motor/formula-1/noticia/leclerc-revela-idolatria-por-senna-e-amor-pelo-brasil-em-aula-no-game-da-f1-em-interlagos.ghtml"
Secundário;"Letícia Cazarré posta na praia e mostra o barrigão do 4º filho";"https://extra.globo.com/famosos/mulher-de-juliano-cazarre-exibe-barrigao-de-gravida-em-dia-de-praia-com-os-filhos-24759289.html"
Secundário;"Mãe confirma que Simas é a pessoa que ajudou garotinho";"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/mae-de-menino-autista-afirma-que-felipe-simas-ajudou-o-filho-durante-crise.html"
Secundário;"Taís, Lázaro e os dois filhos testam positivo para Covid-19";"https://revistamarieclaire.globo.com/Celebridades/noticia/2020/11/tais-araujo-e-lazaro-ramos-testam-positivo-para-covid-19.html"
Secundário;"Babu fala em live com Teresa Cristina que tinha raiva de Ivy do BBB e agora tem pena";"https://kogut.oglobo.globo.com/noticias-da-tv/noticia/2020/11/sete-meses-apos-o-fim-do-bbb-20-babu-fala-sobre-magoas-com-ivy-antes-eu-tinha-raiva-agora-eu-tenho-pena.html?utm_source=globo.com&utm_medium=oglobo"
Secundário;"Funkeira usa calcinha como máscara para poder ir a shopping";"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/funkeira-usa-calcinha-como-mascara-para-poder-entrar-em-shopping.html"
Secundário;"Cleo Pires volta ao RJ e começa processo de emagrecimento";"https://extra.globo.com/famosos/cleo-inicia-processo-de-emagrecimento-ja-aparece-mais-magra-em-postagens-em-rede-social-24758847.html"
Secundário;"Michel Teló lembra foto da infância, e fãs veem semelhança com filha Melinda";"https://gshow.globo.com/Famosos/noticia/michel-telo-compartilha-clique-de-primeira-vez-no-palco-e-internautas-veem-semelhanca-com-sua-filha-melinda.ghtml"
Secundário;"Fãs comentam em foto e acham rosto de Joelma 'diferente'";"https://revistaglamour.globo.com/Celebridades/noticia/2020/11/internautas-estranham-rosto-de-joelma-em-foto.html"
Secundário;"Hickmann posta marido, que combate câncer, em treino";"https://revistaglamour.globo.com/Celebridades/noticia/2020/11/ana-hickmann-sobre-doenca-do-marido-esta-firme-e-com-forca.html"
Secundário;"Rose Miriam avalia 1 ano sem Gugu: 'Nos reconstruindo'";"https://revistamarieclaire.globo.com/Mulheres-do-Mundo/noticia/2020/11/rose-miriam-fala-sobre-uniao-com-os-filhos-um-ano-apos-morte-de-gugu-nos-reconstruindo.html"
Secundário;"Aumento de internações por Covid-19 preocupa em várias cidades";"https://globoplay.globo.com/v/9041301/"
Secundário;"Brasileiro bem-sucedido no exterior manda recado";"https://globoplay.globo.com/v/9041285/"
Secundário;"Artistas negros fazem corredor de grafites em SP";"https://globoplay.globo.com/v/9041309/"
Secundário;"Exagero no sal pode causar pressão alta";"https://globoplay.globo.com/v/9041271/"
Secundário;"Mulher de João Alberto fala da dor da perda do marido";"https://globoplay.globo.com/v/9041143/"
Secundário;"Lista revela os jogos mais estressantes do mundo; veja";"https://www.techtudo.com.br/noticias/2020/11/mario-kart-e-fifa-20-sao-jogos-mais-estressantes-do-mundo-diz-estudo.ghtml"
Secundário;"Galaxy lançado este ano está menos de R$ 1 mil; veja";"https://www.techtudo.com.br/noticias/2020/11/galaxy-a01-vs-nokia-23-comparativo-preco-e-ficha-tecnica.ghtml"
Secundário;"App deixa navegar na web sem deixar rastros; conheça";"https://www.techtudo.com.br/listas/2020/11/cinco-navegadores-para-usar-a-internet-sem-deixar-rastros.ghtml"
Secundário;"PES 2021: como montar um bom time no myClub";"https://globoesporte.globo.com/esports/pes/noticia/pes-2021-como-ganhar-gp-e-montar-um-bom-time-no-myclub.ghtml"
Secundário;"Aprenda a usar sombra para fazer um delineado colorido";"https://revistaglamour.globo.com/Beleza/Maquiagem/noticia/2020/11/te-ensinamos-usar-sombra-para-fazer-um-delineado-colorido-de-sucesso.html"
Secundário;"Monte três opções de looks usando a mesma blusa jeans";"https://gshow.globo.com/moda-e-beleza/noticia/camisa-jeans-aprenda-a-montar-tres-opcoes-de-looks-usando-a-mesa-peca.ghtml"
Secundário;"3 tendências de make em que se deve apostar neste verão";"https://revistamarieclaire.globo.com/Beauty-Tudo/noticia/2020/11/3-tendencias-de-maquiagem-para-apostar-neste-verao.html"
Secundário;"Picape pneus de monster truck anda sobre as águas";"https://autoesporte.globo.com/carros/noticia/2020/11/picape-com-oito-pneus-de-monster-trucks-consegue-andar-sobre-as-aguas-e-ser-parada-pela-policia.ghtml"
Secundário;"As 7 chaves de carros mais exóticas do mundo";"https://autoesporte.globo.com/carros/noticia/2020/11/as-7-chaves-de-carros-mais-exoticas-do-mundo.ghtml"
Secundário;"Os melhores sedãs médios para fugir dos SUVs";"https://autoesporte.globo.com/mercado/noticia/2020/11/qual-comprar-os-melhores-sedas-medios-para-fugir-dos-suvs.ghtml"
Secundário;"Testemunho de Ester pode colocar Cassiano na prisão";"https://gshow.globo.com/novelas/flor-do-caribe/vem-por-ai/noticia/testemunho-de-ester-na-policia-pode-colocar-cassiano-na-prisao.ghtml"
Secundário;"Carmela confessa que odeia Shirlei: 'Por mim, não nascia'";"https://gshow.globo.com/novelas/haja-coracao/vem-por-ai/noticia/carmela-confessa-que-odeia-shirlei-por-mim-nao-tinha-nem-nascido.ghtml"
Secundário;"O Retorno de Mary Poppins: curiosidades de Emily Blunt";"https://gshow.globo.com/Famosos/noticia/o-retorno-de-mary-poppins-confira-curiosidades-da-protagonista-emily-blunt.ghtml"
Secundário;"Reveja todas as Batalhas da 9ª temporada do reality";"https://gshow.globo.com/realities/the-voice-brasil/2020/noticia/the-voice-brasil-reveja-todas-as-batalhas-da-9a-temporada.ghtml"
Secundário;"Mês da consciência negra: Live da Iza e convidados no Multishow!";"https://globoplay.globo.com/transmissoes/7339131/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card1&utm_term=multishow-livedaiza"
Secundário;"'Casais que Amamos' estreia hoje no VIVA às 19h";"https://globoplay.globo.com/transmissoes/7339091/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card2&utm_term=viva-casaisqueamamos"
Secundário;"'Além dos Limites' leva Fernando ao lado selvagem da vida";"https://globoplay.globo.com/alem-dos-limites/t/YyNkXPqPms/?utm_source=gcom&utm_medium=home&utm_campaign=franjal-card3&utm_term=off-alemdoslimites"
